timestamp,event_type,source,target,punk_id,punk_type
1498229446,Assign,0x0000000000000000000000000000000000000000,0x000000000000000000000000c352b534e8b987e036a93539fd6897f53488e56a,635,Alien
1623268204,PunkTransfer,0x000000000000000000000000c352b534e8b987e036a93539fd6897f53488e56a,0x000000000000000000000000897aea3d51dcba918c41ae23f5d9a7411671dee0,635,Alien
1498232810,Assign,0x0000000000000000000000000000000000000000,0x0000000000000000000000001e32a859d69dde58d03820f8f138c99b688d132f,2890,Alien
1499364540,PunkBought,0x0000000000000000000000001e32a859d69dde58d03820f8f138c99b688d132f,0x0000000000000000000000000000000000000000000000000000000000000000,2890,Alien
1611429153,PunkBought,0x0000000000000000000000006611fe71c233e4e7510b2795c242c9a57790b376,0x0000000000000000000000000000000000000000000000000000000000000000,2890,Alien
1620152300,PunkTransfer,0x00000000000000000000000024c5eba1f94b34efb3226ee3ae06884057752c2a,0x000000000000000000000000266892ed0d40ea5c37f3e0239537999c13468311,2890,Alien
1498232999,Assign,0x0000000000000000000000000000000000000000,0x0000000000000000000000001e32a859d69dde58d03820f8f138c99b688d132f,3100,Alien
1499364522,PunkBought,0x0000000000000000000000001e32a859d69dde58d03820f8f138c99b688d132f,0x0000000000000000000000000000000000000000000000000000000000000000,3100,Alien
1615496221,PunkBought,0x0000000000000000000000006611fe71c233e4e7510b2795c242c9a57790b376,0x0000000000000000000000000000000000000000000000000000000000000000,3100,Alien
1498233533,Assign,0x0000000000000000000000000000000000000000,0x0000000000000000000000008884f2af43bcbd9ab81f7a4ac35f421df1926810,3443,Alien
1498236982,Assign,0x0000000000000000000000000000000000000000,0x0000000000000000000000001e32a859d69dde58d03820f8f138c99b688d132f,5822,Alien
1499710299,PunkBought,0x0000000000000000000000001e32a859d69dde58d03820f8f138c99b688d132f,0x0000000000000000000000000000000000000000000000000000000000000000,5822,Alien
1613938992,PunkTransfer,0x00000000000000000000000000b278dd68f9d8491795ffaf771120638bef1686,0x0000000000000000000000007eb28b2f14a59789ec4c782a5dd957f9c8f33f6b,5822,Alien
1498237322,Assign,0x0000000000000000000000000000000000000000,0x0000000000000000000000001e32a859d69dde58d03820f8f138c99b688d132f,5905,Alien
1499177976,PunkBought,0x0000000000000000000000001e32a859d69dde58d03820f8f138c99b688d132f,0x0000000000000000000000000000000000000000000000000000000000000000,5905,Alien
1613939129,PunkTransfer,0x00000000000000000000000000b278dd68f9d8491795ffaf771120638bef1686,0x0000000000000000000000007eb28b2f14a59789ec4c782a5dd957f9c8f33f6b,5905,Alien
1498237861,Assign,0x0000000000000000000000000000000000000000,0x0000000000000000000000001e32a859d69dde58d03820f8f138c99b688d132f,6089,Alien
1498928716,PunkBought,0x0000000000000000000000001e32a859d69dde58d03820f8f138c99b688d132f,0x0000000000000000000000000000000000000000000000000000000000000000,6089,Alien
1633832318,PunkTransfer,0x0000000000000000000000006611fe71c233e4e7510b2795c242c9a57790b376,0x0000000000000000000000008e232860171762f6ff2d22d1fcc45af78bd3fbb5,6089,Alien
1498241662,Assign,0x0000000000000000000000000000000000000000,0x0000000000000000000000001e32a859d69dde58d03820f8f138c99b688d132f,7523,Alien
1499710481,PunkBought,0x0000000000000000000000001e32a859d69dde58d03820f8f138c99b688d132f,0x0000000000000000000000000000000000000000000000000000000000000000,7523,Alien
1613938822,PunkTransfer,0x00000000000000000000000000b278dd68f9d8491795ffaf771120638bef1686,0x0000000000000000000000007eb28b2f14a59789ec4c782a5dd957f9c8f33f6b,7523,Alien
1615413524,PunkTransfer,0x0000000000000000000000007eb28b2f14a59789ec4c782a5dd957f9c8f33f6b,0x00000000000000000000000088fb3d509fc49b515bfeb04e23f53ba339563981,7523,Alien
1615416029,PunkTransfer,0x00000000000000000000000088fb3d509fc49b515bfeb04e23f53ba339563981,0x000000000000000000000000950012685408083b795506e13d87392bd55d6930,7523,Alien
1626365631,PunkTransfer,0x000000000000000000000000950012685408083b795506e13d87392bd55d6930,0x000000000000000000000000405b96e2538ac85ee862e332fa634b158d013ae1,7523,Alien
1498242649,Assign,0x0000000000000000000000000000000000000000,0x0000000000000000000000001e32a859d69dde58d03820f8f138c99b688d132f,7804,Alien
1515598633,PunkBought,0x0000000000000000000000001e32a859d69dde58d03820f8f138c99b688d132f,0x0000000000000000000000000000000000000000000000000000000000000000,7804,Alien
1615423719,PunkBought,0x00000000000000000000000003911fecabd6b4809c88e2e6eb856ec932b2ee3e,0x000000000000000000000000f4b4a58974524e183c275f3c6ea895bc2368e738,7804,Alien
